subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
V15,Vanderbilt,Sable,FALSE,HF,29.17394882,102.1961255,82.38715091,0.493875119,0.809419016,24.1,29.5,18.1074,5.66058,3
V15,Vanderbilt,Sable,TRUE,HF,29.29260545,91.49280284,73.0278174,0.441341902,0.798707941,24.1,29.5,18.1074,5.66058,3
V16,Vanderbilt,Sable,FALSE,HF,26.65400794,89.99179391,75.20350279,0.437832734,0.839521544,24.1,26.25,15.7924,5.288555,3
V16,Vanderbilt,Sable,TRUE,HF,26.48782456,86.32893357,68.74228183,0.416251291,0.796697052,24.1,26.25,15.7924,5.288555,3
V2,Vanderbilt,Sable,FALSE,LF,25.61129005,101.34497,96.8484135,0.506514872,0.955608164,24.1,27.02,17.3238,2.510465,3
V2,Vanderbilt,Sable,TRUE,LF,26.59000188,93.95376458,87.57496695,0.4671297,0.925691101,24.1,27.02,17.3238,2.510465,3
V3,Vanderbilt,Sable,FALSE,LF,27.32822025,103.6235271,98.64749609,0.517484451,0.953210673,24.1,26.65,18.2229,3.203605,3
V3,Vanderbilt,Sable,TRUE,LF,28.58811208,100.2996428,94.302154,0.499579075,0.935289241,24.1,26.65,18.2229,3.203605,3
V4,Vanderbilt,Sable,FALSE,LF,22.74674235,99.88519941,89.65042015,0.492800936,0.895687481,24.1,25.3,15.6914,1.723575,3
V4,Vanderbilt,Sable,TRUE,LF,23.61913854,91.96588088,84.14787765,0.455505089,0.907619266,24.1,25.3,15.6914,1.723575,3
V5,Vanderbilt,Sable,FALSE,LF,24.01461716,93.18018265,92.08063088,0.469064278,0.990077806,24.1,24.75,16.1786,2.07731,3
V5,Vanderbilt,Sable,TRUE,LF,24.51100056,89.41231959,83.02118056,0.444195377,0.92790643,24.1,24.75,16.1786,2.07731,3
V6,Vanderbilt,Sable,FALSE,LF,23.85763181,95.96262471,87.873474,0.475376766,0.915646877,24.1,26.25,17.40045,1.214505,3
V6,Vanderbilt,Sable,TRUE,LF,24.42881173,90.73504092,83.60637294,0.450055445,0.912475532,24.1,26.25,17.40045,1.214505,3
V7,Vanderbilt,Sable,FALSE,LF,26.38437995,99.31328676,92.47321674,0.493669041,0.936573239,24.1,27.65,17.4676,3.162405,3
V7,Vanderbilt,Sable,TRUE,LF,27.43930868,92.47401319,86.79051565,0.460430396,0.931885021,24.1,27.65,17.4676,3.162405,3
V8,Vanderbilt,Sable,FALSE,LF,24.80156809,101.5839615,99.06620765,0.509909618,0.97637281,24.1,26.9,17.18825,1.949955,3
V8,Vanderbilt,Sable,TRUE,LF,25.62728729,94.63044503,87.77518569,0.470017939,0.930994518,24.1,26.9,17.18825,1.949955,3
V9,Vanderbilt,Sable,FALSE,HF,32.90804775,101.4817221,80.78458391,0.489287216,0.796305766,24.1,30.7,17.19295,8.342995,3
V9,Vanderbilt,Sable,TRUE,HF,31.84416106,90.08567904,70.45855034,0.432954818,0.77991295,24.1,30.7,17.19295,8.342995,3
Y1,Yale,Columbus,FALSE,HF,45.8,124.1612556,98.84997037,0.598647575,0.794700773,21.5,45.9,23.1477,18.43715,3
Y1,Yale,Columbus,TRUE,HF,45.8,113.0460677,87.68209734,0.542490952,0.774688151,21.5,45.9,23.1477,18.43715,3
Y10,Yale,Columbus,FALSE,LF,27.8,89.39038519,92.83912963,0.454967585,1.039988666,21.5,26.7,18.7693,3.955265,3
Y10,Yale,Columbus,TRUE,LF,27.8,85.86066903,85.00698761,0.432394625,0.983820504,21.5,26.7,18.7693,3.955265,3
Y11,Yale,Columbus,FALSE,HF,36.8,107.9786963,85.16746667,0.51973926,0.789983068,21.5,36.7,20.66815,11.26655,3
Y11,Yale,Columbus,TRUE,HF,36.8,96.97766136,77.90527434,0.468352197,0.802984173,21.5,36.7,20.66815,11.26655,3
Y12,Yale,Columbus,FALSE,LF,24.7,99.41521296,100.6506704,0.503114996,1.013363775,21.5,24.55,17.5647,2.213335,3
