"","Ptt","RDate","Period","T2460","T2224","T2022","T1820","T1618","T1416","T1214","T1012","T810","T68","T46","T04","Species"
"731",108425,"6/25/11 23:00",23,20.7,3.1,3.6,3.9,4.4,5.1,5.8,35,9.9,4.7,3.8,0,"Sperm whale"
"732",108425,"6/25/11 5:00",5,63.3,1.4,1.9,1.9,1.9,2.2,2.5,16.7,8.1,0,0,0,"Sperm whale"
"733",108425,"6/26/11 11:00",11,21.7,2.4,2.8,2.8,3.3,4,4.3,25.4,31,2.4,0,0,"Sperm whale"
"734",108425,"6/26/11 17:00",17,21.2,2.6,3.5,3.4,3.6,3.7,4.3,12.5,21.5,22.9,0.8,0,"Sperm whale"
"735",108425,"6/26/11 23:00",23,19.4,3,3.9,4.3,5,5.2,5.9,39.4,14,0,0,0,"Sperm whale"
"736",108425,"6/26/11 5:00",5,69.8,1.1,1.4,1.7,1.7,1.9,1.7,11.4,9.4,0,0,0,"Sperm whale"
"737",108425,"6/27/11 11:00",11,65.7,1.4,1.7,1.9,1.9,2.2,2.2,19.9,3,0,0,0,"Sperm whale"
"738",108425,"6/27/11 17:00",17,47.9,1.9,2.3,2.5,2.8,3,3.9,16.9,18.8,0,0,0,"Sperm whale"
"739",108425,"6/27/11 23:00",23,25.2,2.6,3.2,3.5,4.3,5.1,6.8,29.8,19.4,0,0,0,"Sperm whale"
"740",108425,"6/17/11 11:00",11,19.7,2.2,2.8,2.9,3.2,3.7,4.2,19.4,13,24.1,4.7,0,"Sperm whale"
"741",108425,"6/17/11 17:00",17,35.1,2.6,2.6,2.5,2.9,3.3,3.7,18.9,16.2,10.3,1.8,0,"Sperm whale"
"742",108425,"6/17/11 23:00",23,84.5,0.7,0.7,0.7,0.7,1.1,1.1,7,3.3,0,0,0,"Sperm whale"
"743",108425,"6/17/11 5:00",5,57.6,1.6,1.9,1.9,2.3,2.5,3.2,20.6,2.5,1.9,3.9,0,"Sperm whale"
"744",108425,"6/18/11 11:00",11,22.1,2.6,3.1,3.1,2.9,3.6,5.3,33.5,23.9,0,0,0,"Sperm whale"
"745",108425,"6/18/11 17:00",17,23,2.4,2.8,2.8,2.8,3.6,4.1,15.7,19.6,22.6,0.7,0,"Sperm whale"
"746",108425,"6/18/11 23:00",23,21.1,3.5,4.1,4.1,4.6,5.2,10.9,42.9,3.1,0.6,0,0,"Sperm whale"
"747",108425,"6/18/11 5:00",5,36.3,2.4,2.6,2.8,3.7,3.9,6.1,39.9,2.4,0,0,0,"Sperm whale"
"748",108425,"6/19/11 11:00",11,26.4,2.4,2.9,2.8,3.1,3.7,4.4,23.3,18.7,8,4.3,0,"Sperm whale"
"749",108425,"6/19/11 17:00",17,50.9,2.1,2.3,2.1,2.1,2.8,5.3,32.4,0,0,0,0,"Sperm whale"
"750",108425,"6/19/11 23:00",23,22.9,3,3.2,3.7,3.9,5.1,7.9,49.1,1.2,0,0,0,"Sperm whale"
"751",108425,"6/19/11 5:00",5,46.4,1.9,2,2.4,2.8,3.9,7.1,31.9,1.7,0,0,0,"Sperm whale"
"752",108425,"6/20/11 11:00",11,31.7,2.1,2.8,2.5,2.8,3.3,3.9,24.8,15,11.1,0,0,"Sperm whale"
"753",108425,"6/20/11 17:00",17,20.9,2.4,2.9,2.6,2.8,3.6,4,19.8,12.7,25.6,2.6,0,"Sperm whale"
"754",108425,"6/20/11 23:00",23,47.9,2.5,3,3,3.2,3.7,4.9,25.9,3.5,1.6,0.7,0,"Sperm whale"
"755",108425,"6/20/11 5:00",5,67.2,1.4,1.9,1.9,2.2,2.5,3.1,17.2,2.5,0,0,0,"Sperm whale"
"756",108425,"6/21/11 11:00",11,23.3,2.4,3.2,2.8,3.1,3.3,4.4,18.9,26.8,11.9,0,0,"Sperm whale"
"757",108425,"6/21/11 17:00",17,23,2.8,3.3,3.2,3.2,3.9,4.6,19.9,11.4,24.8,0,0,"Sperm whale"
"758",108425,"6/21/11 23:00",23,41.1,2.2,2.4,2.6,3,3.3,3.7,23.1,15.9,2.6,0,0,"Sperm whale"
"759",108425,"6/21/11 5:00",5,48.8,1.9,2.3,2.3,2.3,3,3.9,31.9,3.5,0,0,0,"Sperm whale"
"760",108425,"6/22/11 11:00",11,25.9,2.6,3.5,3.3,3.3,3.6,4.4,16.5,33.8,3,0,0,"Sperm whale"
"761",108425,"6/22/11 17:00",17,22.5,2.6,3.6,3.5,3.7,3.7,4.2,28.8,27.3,0,0,0,"Sperm whale"
"762",108425,"6/22/11 23:00",23,22.1,2.6,3.1,3.2,3.8,4.7,5.1,26.7,28,0.7,0,0,"Sperm whale"
"763",108425,"6/22/11 5:00",5,66.3,1.1,1.1,1.4,1.7,2.5,2.5,18.8,4.7,0,0,0,"Sperm whale"
"764",108425,"6/23/11 11:00",11,94.1,0.4,0.4,0.4,0.4,0.4,0.4,3.7,0,0,0,0,"Sperm whale"
"765",108425,"6/23/11 17:00",17,27.7,2.2,2.6,2.5,3.1,3.5,3.8,14.2,26,14.5,0,0,"Sperm whale"
"766",108425,"6/23/11 23:00",23,21.1,3.3,3.8,3.9,4.4,4.7,5.3,29.9,20.4,1.5,1.7,0,"Sperm whale"
"767",108425,"6/23/11 5:00",5,25,3.1,3.7,3.9,4.2,4,3.9,24.5,27.2,0.6,0,0,"Sperm whale"
"768",108425,"6/24/11 11:00",11,22.6,2.6,3.3,3.5,3.5,4.2,4.4,22.1,32.2,1.7,0,0,"Sperm whale"
"769",108425,"6/24/11 17:00",17,25,2.4,2.9,2.9,3.1,3.8,5.4,27.8,26.4,0.4,0,0,"Sperm whale"
"770",108425,"6/24/11 23:00",23,26,3.1,3.6,3.8,4,4.9,7.4,30.3,11.7,1.7,3.8,0,"Sperm whale"
"771",108425,"6/24/11 5:00",5,62,1.4,1.7,2.2,2.5,2.8,5.5,14.1,7.8,0,0,0,"Sperm whale"
"772",108426,"6/20/11 17:00",17,18.3,2.6,2.9,2.8,3.2,3.7,3.9,13.4,34.2,15,0,0,"Sperm whale"
"773",108426,"6/20/11 23:00",23,21.4,3.1,3.7,3.1,3.5,4.4,7.6,35.7,15.2,2.2,0,0,"Sperm whale"
"774",108426,"6/29/11 17:00",17,25.9,2.5,3.2,3.1,3.2,3.8,3.9,21.8,23.2,6,3.5,0,"Sperm whale"
"775",108426,"6/29/11 5:00",5,17.2,2.5,2.7,2.7,3.3,4.3,5.7,18.7,22.4,5.1,15.3,0,"Sperm whale"
"776",108426,"7/1/11 11:00",11,29.1,3.2,3.6,3.4,3.6,4.2,3.1,14.1,29.6,3.9,2.1,0,"Sperm whale"
"777",108426,"7/1/11 5:00",5,47,1.7,2,2.2,2.4,2.8,3,25.5,13.5,0,0,0,"Sperm whale"
"778",108426,"6/21/11 11:00",11,53.2,1.6,2.1,1.6,1.9,2.3,2.1,8.1,18.1,4.2,4.9,0,"Sperm whale"
"779",108426,"6/21/11 17:00",17,39.9,2.2,2.6,2.2,2.6,3,3.3,6.6,18.6,5.4,13.7,0,"Sperm whale"
"780",108426,"6/21/11 23:00",23,31.9,2.9,3.5,3.1,3.9,4.6,5.9,36.8,7.4,0,0,0,"Sperm whale"
"781",108426,"6/21/11 5:00",5,23.9,3.2,3.3,3.1,3.5,4.9,6.5,23.2,17.9,3.2,7.4,0,"Sperm whale"
"782",108426,"6/22/11 11:00",11,27.8,2.4,3.1,2.6,3.1,3.8,3.9,5.4,23.4,13.4,10.3,1,"Sperm whale"
"783",108426,"6/22/11 17:00",17,19.7,2.5,2.9,2.5,2.6,3.3,3.7,14.8,24.7,9.2,13.3,0.7,"Sperm whale"
"784",108426,"6/22/11 23:00",23,26.7,3.6,3.9,4.1,4.3,4.8,6.2,29.2,0,6,11.1,0,"Sperm whale"
"785",108426,"6/23/11 17:00",17,18.8,2.5,3.1,2.8,3.1,3.8,4.2,19.3,30.3,8.2,4.2,0,"Sperm whale"
