"","Ptt","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Species"
"5952",108419,NA,"6/21/11 0:00","10:20:00","3",25.88800049,-77.25201416,713,143,"Blainville's beaked whale"
"5953",108419,NA,"6/21/11 0:00","10:22:30","3",25.88800049,-77.25201416,713,143,"Blainville's beaked whale"
"5954",108419,NA,"6/21/11 0:00","10:25:00","3",25.88800049,-77.25201416,856,143,"Blainville's beaked whale"
"5955",108419,NA,"6/21/11 0:00","10:27:30","3",25.88800049,-77.25201416,972,116,"Blainville's beaked whale"
"5956",108419,NA,"6/21/11 0:00","10:30:00","3",25.88800049,-77.25201416,972,116,"Blainville's beaked whale"
"5957",108419,NA,"6/21/11 0:00","10:32:30","3",25.88800049,-77.25201416,972,116,"Blainville's beaked whale"
"5958",108419,NA,"6/21/11 0:00","10:35:00","3",25.88800049,-77.25201416,856,143,"Blainville's beaked whale"
"5959",108419,NA,"6/21/11 0:00","10:37:30","3",25.88800049,-77.25201416,972,116,"Blainville's beaked whale"
"5960",108419,NA,"6/21/11 0:00","10:40:00","3",25.88800049,-77.25201416,856,143,"Blainville's beaked whale"
"5961",108419,NA,"6/21/11 0:00","10:42:30","3",25.88800049,-77.25201416,713,143,"Blainville's beaked whale"
"5962",108419,NA,"6/21/11 0:00","10:45:00","3",25.88800049,-77.25201416,588,125,"Blainville's beaked whale"
"5963",108419,NA,"6/21/11 0:00","10:47:30","3",25.88800049,-77.25201416,392,71,"Blainville's beaked whale"
"5964",108419,NA,"6/21/11 0:00","10:50:00","3",25.88800049,-77.25201416,321,71.5,"Blainville's beaked whale"
"5965",108419,NA,"6/21/11 0:00","10:52:30","3",25.88800049,-77.25201416,160,36,"Blainville's beaked whale"
"5966",108419,NA,"6/21/11 0:00","10:55:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5967",108419,NA,"6/21/11 0:00","10:57:30","3",25.88800049,-77.25201416,93,31,"Blainville's beaked whale"
"5968",108419,NA,"6/21/11 0:00","11:00:00","3",25.88800049,-77.25201416,205,44.5,"Blainville's beaked whale"
"5969",108419,NA,"6/21/11 0:00","11:02:30","3",25.88800049,-77.25201416,259,62.5,"Blainville's beaked whale"
"5970",108419,NA,"6/21/11 0:00","11:05:00","3",25.88800049,-77.25201416,205,44.5,"Blainville's beaked whale"
"5971",108419,NA,"6/21/11 0:00","11:07:30","3",25.88800049,-77.25201416,125,35.5,"Blainville's beaked whale"
"5972",108419,NA,"6/21/11 0:00","11:10:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5973",108419,NA,"6/21/11 0:00","11:12:30","3",25.88800049,-77.25201416,45,17.5,"Blainville's beaked whale"
"5974",108419,NA,"6/21/11 0:00","11:15:00","3",25.88800049,-77.25201416,93,31,"Blainville's beaked whale"
"5975",108419,NA,"6/21/11 0:00","11:17:30","3",25.88800049,-77.25201416,125,35.5,"Blainville's beaked whale"
"5976",108419,NA,"6/21/11 0:00","11:20:00","3",25.88800049,-77.25201416,45,17.5,"Blainville's beaked whale"
"5977",108419,NA,"6/21/11 0:00","11:22:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5978",108419,NA,"6/21/11 0:00","11:25:00","3",25.88800049,-77.25201416,31,13.5,"Blainville's beaked whale"
"5979",108419,NA,"6/21/11 0:00","11:27:30","3",25.88800049,-77.25201416,67,22.5,"Blainville's beaked whale"
"5980",108419,NA,"6/21/11 0:00","11:30:00","3",25.88800049,-77.25201416,93,31,"Blainville's beaked whale"
"5981",108419,NA,"6/21/11 0:00","11:32:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5982",108419,NA,"6/21/11 0:00","11:35:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5983",108419,NA,"6/21/11 0:00","11:37:30","3",25.88800049,-77.25201416,31,13.5,"Blainville's beaked whale"
"5984",108419,NA,"6/21/11 0:00","11:40:00","3",25.88800049,-77.25201416,31,13.5,"Blainville's beaked whale"
"5985",108419,NA,"6/21/11 0:00","11:42:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5986",108419,NA,"6/21/11 0:00","11:45:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5987",108419,NA,"6/21/11 0:00","11:47:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5988",108419,NA,"6/21/11 0:00","11:50:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5989",108419,NA,"6/21/11 0:00","11:52:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5990",108419,NA,"6/21/11 0:00","11:55:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5991",108419,NA,"6/21/11 0:00","11:57:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5992",108419,NA,"6/21/11 0:00","14:00:00","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5993",108419,NA,"6/21/11 0:00","14:02:30","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5994",108419,NA,"6/21/11 0:00","14:05:00","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5995",108419,NA,"6/21/11 0:00","14:07:30","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5996",108419,NA,"6/21/11 0:00","14:10:00","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5997",108419,NA,"6/21/11 0:00","14:12:30","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5998",108419,NA,"6/21/11 0:00","14:15:00","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"5999",108419,NA,"6/21/11 0:00","14:17:30","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
"6000",108419,NA,"6/21/11 0:00","14:20:00","3",25.81999969,-77.20199585,23,4.5,"Blainville's beaked whale"
